File,ESTC ID,Title,Author,Printer,Location,City,Subject,Notes,Misc.,Category,Genre,Genre Category
WB MI 20181002.csv,N12804,"The rudiments of English grammar, adapted to the use of schools; with notes and observations, for the use of those who have made some proficiency in the language. By Joseph Priestley, LL.D. F.R.S","Priestley, Joseph","printed for John and Francis Rivington, T. Lowndes, Stanley Crowder, T. Becket and Co. ", in St. Paul's Church-Yard and  in Fleet-Street and in Pater-Noster-Row and in the Stra,L,English language -- Grammar -- Early works to 1800.,With a half-title and a final advertisement leaf.,", 1733-1804.",Instructional/Reference,Grammars,
WB MI 20181002.csv,N13432,Tea-table dialogues; between Miss Thoughtful Miss Sterling Miss Prattle Mast. Thoughtful Master Goodwill Master Foplin. Embellished with cuts,"Johnson, R. (Richard)",printed for T. Carnan,,L,,Anonymous. By Richard Johnson.,", 1733 or 1734-1793.",Literary,Play,
WB MI 20181002.csv,N13487,The rambler. In four volumes,"Johnson, Samuel","printed for W. Bowyer, William Strahan, John and Francis Rivington, J. Hinton, Hawes, Clarke, and Collins, T. Caslon, Stanley Crowder, Thomas Longman, B. Law, W. and J. Ri",,L,1796,Anonymous. By Samuel Johnson.; Perhaps the edition of which Bowyer's share was delivered to him in April 1772.,", 1709-1784.",Periodicals,Magazine?,
WB MI 20181002.csv,N1354,The frequented village: a poem. Inscribed to Dr. Oliver Goldsmith. By a gentleman of the Middle-Temple,"King, Anthony",printed by Obadiah Pirate,Black-Boy-Alley,L,English poetry -- 18th century.Poems.,A gentleman of the Middle-Temple = Anthony King.; The imprint is false; probably a provincial piracy with fictitious printer's name.,", LL.D.",Literary,Poems,
WB MI 20181002.csv,N13566,"The ready calculator: or, trader's certain guide, in computing the price, or amount of any quantity of goods and merchandizes. Containing, I. A correct large table of the Value of any Quantity of Goods, from I Pound, Yard, &c. to 100, 1000, or 10,0","Slack, Thomas","printed for Robinson and Roberts, and T. Slack","No. 25, Pater-Noster Row and in Newcastle",L,Arithmetic -- Tables -- Early works to 1800.,"S. Thomas = Thomas Slack, author of The British negociator.",", 1718 or 1719-1784",Instructional/Reference,Almanac?,
WB MI 20181002.csv,N13692 ,"Titus and Berenice, A tragedy. With a farce, call'd the Cheats of Scapin","Otway, Thomas","Printed for T. Davis, S. Bladon, B. White, J. Robson, T. Becket, and W. Nicoll",,L,"Titus, Emperor of Rome, 40-81 -- Drama.","Anonymous. By Thomas Otway.; 'The cheats of Scapin' has a separate titlepage.; A translation and adaptation from Racine's Berenice"" and Moliere's ""Les fourberies de Scapin"".; ""T. Davis"" is probably Thomas Davies who appears in imprints with most of the other names listed cf. ESTC T99800 N15692.""",,Literary,Play,
WB MI 20181002.csv,N13705,"The tyro's guide to arithmetic and mensuration. With an appendix, containing a great many questions both curious and useful. The whole accommodated to the capacity of beginners, and designed for the use of Schools and Mechanics. By William Panton, ","Panton, William",printed by J. Reid. Sold by the booksellers,in town and country,E,Arithmetic.,With a half-title.,,Instructional/Reference,Guidebooks,
WB MI 20181002.csv,N1402,"Elements of agriculture and vegetation. By George Fordyce, M. D. Of the Royal College of Physicians; Physician to St. Thomas's Hospital; and Reader on the Practice of Physic, in London","Fordyce, George",printed for J. Johnson,"No 72, St. Paul's Church-Yard",L,Agriculture -- Early works to 1800.,,", 1736-1802.",Scientific/Scholarly,Dissertations,
WB MI 20181002.csv,N14397,Thoughts on the late transactions respecting Falkland's Islands,"Johnson, Samuel",printed for T. Cadell,in the Strand,L,Falkland Islands.,Anonymous. By Samuel Johnson.; With a half-title.,", 1709-1784.",Historical,History?,
WB MI 20181002.csv,N14458,To the worthy liverymen of the City of London,"Wilkes, John",,,L,,"Signed and dated: John Wilkes. Guildhall, Thursday, June 20.; On Wilkes' nomination to be Sheriff of London.",", 1727-1797.",CDM,CDM,
WB MI 20181002.csv,N14459,"Unto the Right Honourable, the Lords of Council and Session, the petition of Gilbert Laurie of Polmont, Esq; &c","Laurie, Gilbert",s.n.,,E,Real property -- Early works to 1800.Petitions.,Signed at end: Ro. Macqueen.; Appealing the decision on common-use rights to land claimed by the Duke of Hamilton.; Dated at head of drop-head title: February 19. 1771.,,Legal;Addresses,Petition,
WB MI 20181002.csv,N14461,"Unto the Right Honourable the Lords of Council and Session, the petition of Douglas Duke of Hamilton and Brandon ","Hamilton, Douglas Hamilton",,,E,"Hunter, Robertus -- Trials, litigation, etc.; Hamilton, Douglas Hamilton, Duke of, 1756-1799.Trials -- Great Britain.; Trials -- Scotland -- Edinburgh.",Signed at end: W. Nairne.; Asking the court to deny claims of Robert Hunter to certain lands.; Dated at head of title: February 20. 1771.; Drop-head title.,", Duke of, 1756-1799.",Legal;Addresses,Petition,
WB MI 20181002.csv,N14462,"Unto the Right Honourable, the Lords of Council and Session, the petition of Messrs Douglas, Heron, and Company, bankers in Air ","Douglas, Heron, and Company",,,E,Bank of Scotland -- Early works to 1800.Debtor and creditor -- Early works to 1800.Petitions.,Signed at end: Alex. Wight.; Asking that the Bank of Scotland be restrained from competing with the petitioner in certain financial transactions.; Dated at head of drop-head title: February 5. 1771.,,Legal;Addresses,Petition,
WB MI 20181002.csv,N14463,"Unto the Right Honourable, the Lords of Council and Session, the petition of James Scott of Comiestown ","Scott, James",,,E,Landlord and tenant -- Early works to 1800.Petitions.,Signed at end: John Scott.; On the hereditary right to possession of certain lands.; Dated at head of title: March 5. 1771.; Drop-head title.,", of Comieston.",Legal;Addresses,Petition,
WB MI 20181002.csv,N14466,"Unto the Right Honourable the Lords of Council and Session, the petition of William Innes merchant in London, ","Innes, William",,,E,Settlement costs -- Early works to 1800.Petitions.,Signed at end: Ro. M'Queen.; Asking the court to disallow the financial claims of the firm of Gibson and Balfour.; Dated at head of the drop-head title: January 15. 1770 [i.e. 1771].,", approximately 1720-1795.",Legal;Addresses,Petition,
WB MI 20181002.csv,N14476,"Unto the Right Honourable the Lords of Council and Session, the petition of Francis Angelo-Tremamondo, master of the academy in Edinburgh","Angelo-Tremamondo, Francis",,,E,Libel and slander -- Scotland -- Early works to 1800.; Payment -- Early works to 1800.Petitions.,Signed at end: Henry Erskine.; Denying any obligations to his son-in-law.; Dated at head of the drop-head title: January 16. 1771.,,Legal;Addresses,Petition,
WB MI 20181002.csv,N14484,"Unto the Right Honourable the Lords of Council and Session, the petition of Miss Peggy Buchanan eldest daughter of the deceased William Buchanan of Carbeth ","Buchanan, Peggy",,,E,Real property -- Early works to 1800.Petitions.,Signed at end: James Boswell.; Requesting reconsideration of her case against her brother John.; Dated at head of title: March 6. 1771.; Drop-head title.,,Legal;Addresses,Petition,
WB MI 20181002.csv,N14487,"Unto the Right Honourable the Lords of Council and Session, the petition of William Burness, merchant of Montrose ","Burness, William",,,E,Debtor and creditor -- Early works to 1800.; Libel and slander -- Early works to 1800.Petitions.,Signed at end: Geo. Buchan-Hepburn.; Claiming insufficient payment for a delivery of flax.; Dated at head of title: February 26. 1771.; Drop-head title.,,Legal;Addresses,Petition,
WB MI 20181002.csv,N14489,"Unto the Right Honourable the Lords of Council and Session, the petition of Alexander Copland of Collieston ","Copland, Alexander",,,E,Land tenure -- Great Britain -- Early works to 1800.Great Britain -- Politics and government -- 18th century.Petitions.,Signed at end: Andrew Crosbie.; Requesting to be enrolled as a freeholder in the county of Dumfries.; Dated at head of title: January 25. 1771.; Drop-head title.,", active 18th century.",Legal;Addresses,Petition,
WB MI 20181002.csv,N14497,"Unto the Right Honourable the Lords of Council and Session, the petition of Alexander Dougall surgeon in Elgin, and the other personal creditors of the deceast Lawrence Sutherland of Greenhall ","Dougall, Alexander",,,E,Debtor and creditor -- Early works to 1800.; Payment -- Early works to 1800.Petitions.,Signed at end: Wa. Campbell.; Asking for payment by the heirs of Sutherland of an alleged debt.; Dated at head of title: February 5. 1771.; Drop-head title.,,Legal;Addresses,Petition,
WB MI 20181002.csv,N14501,"Unto the Right Honourable the Lords of Council and Session, the petition of Lauchlan Duff writer to the Signet ","Duff, Lauchlan",,,E,Decedents' estates -- Early works to 1800.Petitions.,Signed at end: Cosmo Gordon.; A continuation of Duff's suit against William Innes.; Dated at head of title: February 19. 1771.; Drop-head title.,,Legal;Addresses,Petition,
WB MI 20181002.csv,N14508,"Unto the Right Honourable, the Lords of Council and Session, the petition of James Fyfe tenant in Wellshill ","Fyfe, James",,,E,"Fyfe, James, active 18th century -- Trials, litigation, etc.; Gall, Thomas -- Trials, litigation, etc.Trials -- Great Britain.; Trials -- Scotland -- Edinburgh.",Signed at end: W. Nairne.; Asserting his right to certain lands.; Dated at head of title: February 5. 1771.; Drop-head title.,", active 18th century.",Legal;Addresses,Petition,
WB MI 20181002.csv,N14530,"Unto the Right Honourable the Lords of Council and Session, the petition of Duncan Macdonald writer in Edinburgh, one of the trustees, and factor for the other trustee, of the deceased Matthew Macalister sometime merchant in Edinburgh, pursuer ","Macdonald, Duncan",,,E,Payment -- Early works to 1800.Petitions.,Signed at end: Rob. Campbell.; On a debt owed the estate.; Dated at head of drop-head title: January 15. 1771.,", writer.",Legal;Addresses,Petition,
WB MI 20181002.csv,N14531,"Unto the Right Honourable the Lords of Council and Session, the petition of Roderick Mackenzie of Scotsburn, Esquire ","Mackenzie, Roderick",,,E,Elections -- Scotland -- Early works to 1800.,"Signed at end: Henry Dundas.; On the vote for a collector by the commissioners of supply of Ross County.; Dated at head of title: January 31, 1771.; Drop-head title.",,Legal;Addresses,Petition,
WB MI 20181002.csv,N14532,"Unto the Right Honourable the Lords of Council and Session, the petition of Mr. Anthony Philip Miller, oculist, now in Edinburgh, and Mary Angelo-Tremamondo, his spouse, ","Miller, Anthony Philip",,,E,Antenuptial contracts -- Early works to 1800.Petitions.,"Signed at end: James Boswell.; Requesting the court to order payment of the wife's dowry.; Dated at head of the drop-head title: February 14, 1771.",,Legal;Addresses,Petition,
WB MI 20181002.csv,N14533,"Unto the Right Honourable, the Lords of Council and Session, the petition of John Andrew, merchant in Edinburgh; John Baird farmer in Lochend; and Walter Mitchel farmer at Morton ","Andrew, John",,,E,,"Signed at end: Andrew Crosbie.; Defending their right to use their property as a public dung yard.; Dated at head of title: February 8th, 1771.; Drop-head title.",", merchant.",Legal;Addresses,Petition,
WB MI 20181002.csv,N14534,"Unto the Right Honourable the Lords of Council and Session, the petition of James Seton merchant in Edinburgh ","Seton, James",,,E,Debtor and creditor -- Early works to 1800.Petitions.,Signed at end: Alexander Bruce.; Claiming sums from the estate of John Grant.; Dated at head of title: Feb. 2. 1771.; Drop-head title.,,Legal;Addresses,Petition,
WB MI 20181002.csv,N14535,"Unto the Right Honourable the Lords of Council and Session, the petition of John Sibbald, flesher in Cupar of Fife ","Sibbald, John",,,E,Antenuptial contracts -- Early works to 1800.Petitions.,Signed at end: Alex. Murray.; On title to property in Cupar.; Dated at head of title: February 5. 1771.; Drop-head title.,,Legal;Addresses,Petition,
WB MI 20181002.csv,N14536,"Unto the Right Honourable the Lords of Council and Session, the petition of William Watt, merchant in Airth ","Watt, William",,,E,"Watt, William, merchant -- Trials, litigation, etc. -- Early works to 1800.Rent -- Early works to 1800.Petitions.","Signed at end: Jo. Maclaurin.; On the terms of a sub-lease.; Dated at head of title: February 13, 1771.; Drop-head title.",", merchant.",Legal;Addresses,Petition,
WB MI 20181002.csv,N14537,"Unto the Right Honourable the Lords of Council and Session, the petition of Hugh Wood merchant and factor in Leith ","Wood, Hugh",,,E,Freight and freightage -- Early works to 1800.Petitions.,"Signed at end: James Boswell.; Denying responsibility for apples rotting in his warehouse.; Dated at head of title: February 7, 1771.; Drop-head title.",", merchant.",Legal;Addresses,Petition,
WB MI 20181002.csv,N14575,"Unto the Right Honourable, the Lords of Council and Session, the petition of Sir Archibald Denham of Westshield, Baronet ","Denham, Archibald Steuart",,,E,Inheritance and succession -- Early works to 1800.Petitions.,Signed at end: Andrew Crosbie.; Denying responsibility for a debt contracted by his uncle.; Dated at head of drop-head title: February 14. 1771.,", Sir, 1683-1773.",Legal;Addresses,Petition,
WB MI 20181002.csv,N14951,"Advice to the people in general, with regard to their health: but particularly calculated for those, who are the most unlikely to be provided in time with the best assistance, in acute Diseases, or upon any sudden inward or outward Accident. With A T","Tissot, S. A. D. (Samuel Auguste David)",printed for T. Becket and Co. ,"near Surry Street, in the Strand",L,"Hygiene.; Medicine, Popular.",,", 1728-1797.",Instructional/Reference,Guidebooks,
WB MI 20181002.csv,N14991,"An account of the British Lying-In Hospital, for Married Women, in Brownlow-Street, Long-Acre, from its institution in November 1749, to December the 31st, 1770",Lying-In Hospital for Married Women,printed by C. Say,in Newgate-Street,L,"Lying-In Hospital for Married Women (London, England) -- Early works to 1800.",," (London, England)",Historical;Scientific/Scholarly,History?,
WB MI 20181002.csv,N15746,"The beatitudes. Being the substance of a discourse delivered in Dublin, December the 21st, 1753. By John Cennick","Cennick, John",re-printed; and sold by M. Lewis,"Dublin printed: London,",L,"Bible. Matthew, V, 3 -- Sermons -- Early works to 1800.Speeches, addresses, etc., English -- Early works to 1800.Sermons.","Also issued as part of: 'Twenty discourses on the following important subjects, .. vol.II', London, 1770 [1773?] and London, 1777.",", 1718-1755.",Religious,Sermon,
WB MI 20181002.csv,N16363,"Answers for Francis Angelo-Tremamondo, master of the academy of Edinburgh; to the petition of Philip Anthony Miller, oculist in Edinburgh","Angelo-Tremamondo, Francis",,,E,Libel and slander -- Scotland -- Early works to 1800.; Payment -- Early works to 1800.,"Signed at end: Henry Erskine.; James Boswell was one of the opposing advocates.; Dated at head of drop-head title: February 21, 1771.",,Legal,Trial Proceedings,
WB MI 20181002.csv,N16367,"Answers for Messrs Gibson and Balfour merchants in Edinburgh, to the petition of William Innes merchant in London",Gibson and Balfour,,,E,Bankruptcy -- Early works to 1800.,Signed at end: Henry Dundas.; Claiming money allegedly owed by Innes.; Dated at head of drop-head title: January 31. 1771.,"(Edinburgh, Scotland)",Legal,Trial Proceedings,
WB MI 20181002.csv,N16370,"Answers for Mr. Philip Miller, oculist in Edinburgh, and for Mary Tremamondo-Angelo [sic], his spouse; to the petition of Francis Angelo-Tremamondo, master of the academy in Edinburgh","Miller, Anthony Philip",,,E,Grief -- Early works to 1800.; Trials -- Scotland -- Edinburgh -- Early works to 1800.,"Signed on p. 11: Henry Dundas.; James Boswell also served as advocate in this case.; Dated at head of drop-head title: January 24, 1771.",,Legal,Trial Proceedings,
WB MI 20181002.csv,N16403,"Answers for Janet Aitken, widow of John Grant late shipmaster in Kirkaldy, and John Aitken her assignee, to the petition of James Seton merchant in Edinburgh","Aitken, Janet",,,E,Trials (Forgery) -- Early works to 1800.,"Signed at end: Claud Boswell.; Dated at head of drop-head title: February 14, 1771.",,Legal,Trial Proceedings,
WB MI 20181002.csv,N16410,"Answers for Mrs Christian Brisbane, daughter of the deceased Dr Thomas Brisbane, to the petition of Robert Graham of Lambhill","Brisbane, Christian",,,E,Annuities -- Early works to 1800.; Decedents' estates -- Scotland -- Early works to 1800.,"Signed at end: Dav. Rae.; Asking that Graham be ordered to pay annuities from the estate he inherited from his uncle, Richard Graham.; Dated at head of drop-head title: January 5. 1771.",,Legal,Trial Proceedings,
WB MI 20181002.csv,N16412,"Answers for poor Katharine and Christian Burghs, pursuers, to the petition of John Sibbald, flesher in Cupar of Fife, defender","Burgh, Katharine",,,E,,Signed at end: W. Nairne.; On title to property in Cupar.; Dated at head of drop-head title: March 1. 1771.,,Legal,Trial Proceedings,
WB MI 20181002.csv,N16413,Answers for John Bushby writer in Dumfries; to the petition and complaint of Alexander Copland of Collieston,"Bushby, John",,,E,Forgery -- Early works to 1800.; Session laws -- Early works to 1800.,Signed at end: Alex. Wight.; Protesting Copland's claim to the right to be enrolled as a freeholder in the county of Dumfries.; Dated at head of drop-head title: February 7. 1771.,", writer.",Legal,Trial Proceedings,
WB MI 20181002.csv,N16414,"Answers for Colonel Alexander Campbell of Barcaldine, to the petition of Duncan Macdonald writer in Edinburgh, one of the trustees, and factor for the other trustee of the deceased Matthew Macalister, sometime merchant in Edinburgh","Campbell, Alexander",,,E,Debtor and creditor -- Early works to 1800.Petitions.,Signed at end: Walter Campbell.; Dated at head of drop-head title: January 25. 1771.,", Colonel.",Legal,Trial Proceedings,
WB MI 20181002.csv,N16417,"Answers for John Adam architect, James Kerr writer in Edinburgh, James M'Kenzie goldsmith in Edinburgh, and others; to the petition of John Andrew merchant in Edinburgh, John Baird farmer in Lochend, and Walter Mitchel farmer at Morton","Adam, John",,,E,Housing -- Early works to 1800.; Real property -- Early works to 1800.,Signed at end: Alex. Wight.; Protesting dung heaps on the petitioners' property.; Dated at head of drop-head title: February 21. 1771., (Architect),Legal,Trial Proceedings,
WB MI 20181002.csv,N16421 ,"Answers for Mr. William Ogilvie; to the petition of Hugh Wood, merchant and factor in Leith","Ogilvie, William",,,E,Libel and slander -- Early works to 1800.,Signed at end: Pat. Murray.; James Boswell was advocate for Wood.; Claiming that Wood was responsible for allowing apples to rot in his warehouse.; Dated at head of drop-head title: February 27. 1771.,,Legal,Trial Proceedings,
WB MI 20181002.csv,N16424,"Answers for Stephen Ronaldson present kirk-treasurer of the parish of Eddleston, and William Cunningham merchant in Kilwinning, creditors of the deceased Robert Reid; to the petition of William Reid, eldest son of the deceased Robert Reid writer to t","Ronaldson, Stephen",,,E,Debtor and creditor -- Early works to 1800.; Law -- Early works to 1800.Petitions.,Signed at end: Geo. Ogilvie.; Asking for preferential treatment as creditors of the estate of Robert Reid.; Dated at head of drop-head title: January 15. 1771.,,Legal,Trial Proceedings,
WB MI 20181002.csv,N16427,"Answers for Jean Weir, daughter of the deceast John Weir merchant in Edinburgh; to the petition of Sir Archibald Denham of Westshiel","Weir, Jean",,,E,Land tenure -- Law and legislation -- Early works to 1800.Petitions.,Signed at end: Jo. Maclaurin.; Dated at head of drop-head title: February 26. 1771.,,Legal,Trial Proceedings,
WB MI 20181002.csv,N16429,"Answers for John Wordie, sometime tenant in Dykes of Polmaise, now in Cowmoors, pursuer, to the petition of William Watt merchant in Airth, defender","Wordie, John",,,E,Leases -- Early works to 1800.Petitions.,"Signed at end: Alex. Murray.; Dated at head of drop-head title: February 28th, 1771.",,Legal,Trial Proceedings,
